№	PLC-адрес	Улица	Дом	№счетчика	Конц.	Показания сум.		Показания сум.	Показания T1		Показания T2		Показания T3		Показания T4		ТП
						Январь 2017			Январь 2017		Январь 2017		Январь 2017		Январь 2017		
237	312	Нахимова 35а  (312)		06250579	2002	****	****	0	****	****	****	****	****	****	****	****	1156
238	1	Нахимова	30а/1	06277878	2002	****	****	0	****	****	****	****	****	****	****	****	1156
239	352	ул.Гончарная-2а	2а	04410220	2003	10.01 23:10	00025670	25670	****	****	****	****	****	****	****	****	1157
240	203	пер.2-ой Тульский-7	7	06298519	2001	11.01 02:23	00035531	35531	****	****	****	****	****	****	****	****	1163
241	202	пер.2-ой Тульский-3	3	06298520	2001	11.01 02:13	00028084	28084	****	****	****	****	****	****	****	****	1163
242	201	ул.Тульская-38	38	06298538	2001	11.01 02:16	00036010	36010	****	****	****	****	****	****	****	****	1163
243	194	пер.2-ой Тульский-5а	5а	06298639	2002	11.01 02:17	00035513	35513	****	****	****	****	****	****	****	****	1163
244	736	ул.Смирнова-32	32	06242839	2001	11.01 02:10	00006509	6509	****	****	****	****	****	****	****	****	1164
245	769	ул.Смирнова-30	30	06242575	2001	11.01 02:10	00003085	3085	****	****	****	****	****	****	****	****	1164
246	775	пр.Шахтеров-47	47	06242762	2001	11.01 02:16	00011300	11300	****	****	****	****	****	****	****	****	1164
247	773	ул.Смирнова-28	28	06242567	2001	11.01 02:17	00008699	8699	****	****	****	****	****	****	****	****	1164
248	774	пр.Шахтеров-49	49	06242570	2001	10.01 06:24	00009278	9278	****	****	****	****	****	****	****	****	1164
249	1	ул. Смирнова	36	06225409	2001	11.01 02:07	00006118	6118	****	****	****	****	****	****	****	****	1164
250	770	ул.Смирнова-26	26	06242574	2003	11.01 02:21	00008072	8072	****	****	****	****	****	****	****	****	1164
251	771	ул.Смирнова-24	24	06239473	2003	11.01 02:10	00009855	9855	****	****	****	****	****	****	****	****	1164
252	740	пр.Шахтеров-75	75	06242718	2001	11.01 02:31	00011630	11630	****	****	****	****	****	****	****	****	1167
253	553	пр.Шахтеров-73	73	06225350	2002	11.01 02:32	00010860	10860	****	****	****	****	****	****	****	****	1167
254	554	пр.Шахтеров-71	71	06221504	2002	11.01 02:27	00005691	5691	****	****	****	****	****	****	****	****	1167
255	663	пр.Шахтеров-67	67	06242747	2001	11.01 02:09	00011009	11009	****	****	****	****	****	****	****	****	1168
256	724	пр.Шахтеров-69	69	06239574	2001	11.01 02:03	00002686	2686	****	****	****	****	****	****	****	****	1168
257	552	пр.Шахтеров-79	79	06221495	2001	03.01 14:31	00006222	6222	****	****	****	****	****	****	****	****	1168
258	545	пр.Шахтеров-65а	65а	06221484	2001	11.01 02:13	00008463	8463	****	****	****	****	****	****	****	****	1168
259	550	пр.Шахтеров-65	65	06221462	2001	11.01 02:10	00008362	8362	****	****	****	****	****	****	****	****	1168
260	727	пр.Шахтеров-61а	61а	06239578	2003	11.01 02:12	00009496	9496	****	****	****	****	****	****	****	****	1168
261	732	пр.Шахтеров-63	63	06239587	2003	11.01 02:13	00003710	3710	****	****	****	****	****	****	****	****	1168
262	726	пр.Шахтеров-59а	59а	06239497	2003	11.01 02:17	00012722	12722	****	****	****	****	****	****	****	****	1168
263	751	пр.Шахтеров-77	77	06242636	2002	11.01 02:08	00009284	9284	****	****	****	****	****	****	****	****	1168
264	725	пр.Шахтеров-61	61	06239576	2001	11.01 02:13	00010603	10603	****	****	****	****	****	****	****	****	1169
265	728	пр.Шахтеров-61б	61б	06239482	2001	11.01 02:18	00013020	13020	****	****	****	****	****	****	****	****	1169
266	729	пр.Шахтеров-61а	61а	06239615	2001	11.01 02:26	00008682	8682	****	****	****	****	****	****	****	****	1169
267	731	пр.Шахтеров-59	59	06239569	2003	11.01 02:40	00005035	5035	****	****	****	****	****	****	****	****	1169
268	730	пр.Шахтеров-61б	61б	06239451	2003	11.01 02:46	00007690	7690	****	****	****	****	****	****	****	****	1169
269	266	ул.Ноградская-20	20	03351988	2001	11.01 02:05	00013005	13005	****	****	****	****	****	****	****	****	117
270	284	ул.Ноградская-22	22	03372404	2001	11.01 02:01	00009542	9542	****	****	****	****	****	****	****	****	117
271	288	пр.Советский-49	49	03352007	2001	11.01 02:11	00012375	12375	****	****	****	****	****	****	****	****	117
272	669	пр.Советский-51	51	07952456	2003	11.01 02:01	00010523	10523	****	****	****	****	****	****	****	****	117
273	137	пр.Шахтеров-37	37	06283272	2002	03.01 02:46	00004851	4851	****	****	****	****	****	****	****	****	1170
274	714	пр.Шахтеров-37б	37б	06221658	2002	03.01 02:46	00009305	9305	****	****	****	****	****	****	****	****	1170
275	715	ул.Ю.Смирнова-4	4	06221598	2002	03.01 02:39	00004866	4866	****	****	****	****	****	****	****	****	1170
276	723	ул.Ю.Смирнова-8	8	06232693	2002	03.01 02:45	00007444	7444	****	****	****	****	****	****	****	****	1170
277	746	ул.Ю.Смирнова-6	6	06242590	2001	02.01 23:30	00011953	11953	****	****	****	****	****	****	****	****	1170
278	717	пр.Шахтеров-35	35	06221652	2003	03.01 02:20	00008981	8981	****	****	****	****	****	****	****	****	1170
279	718	пр.Шахтеров-35а	35а	06221662	2003	03.01 02:18	00008980	8980	****	****	****	****	****	****	****	****	1170
280	117	ул.Ю.Смирнова-18	18	06277186	2001	11.01 02:17	00016132	16132	****	****	****	****	****	****	****	****	1171
281	120	ул.Ю.Смирнова-16	16	06283050	2001	11.01 02:07	00014843	14843	****	****	****	****	****	****	****	****	1171
282	121	ул.Смирнова-10	10	06282769	2001	11.01 02:10	00015257	15257	****	****	****	****	****	****	****	****	1171
283	116	ул.Ю.Смирнова-20	20	06277195	2001	****	****	0	****	****	****	****	****	****	****	****	1172
284	929	ул.Ю.Смирнова-22	22	06221507	2002	11.01 02:39	00008659	8659	****	****	****	****	****	****	****	****	1172
285	719	пр.Шахтеров-45	45	06221733	2002	11.01 02:43	00004744	4744	****	****	****	****	****	****	****	****	1172
286	716	пр.Шахтеров-41	41	06221703	2001	11.01 02:15	00007498	7498	****	****	****	****	****	****	****	****	1173
287	721	пр.Шахтеров-43	43	06221713	2001	11.01 02:17	00005730	5730	****	****	****	****	****	****	****	****	1173
288	738	пр.Шахтеров-39	39	06242832	2001	11.01 02:11	00008803	8803	****	****	****	****	****	****	****	****	1174
289	742	пр.Шахтеров-37а	37а	06242740	2001	11.01 02:25	00013864	13864	****	****	****	****	****	****	****	****	1174
290	737	пр.Шахтеров-39а	39а	06242825	2003	11.01 02:07	00012430	12430	****	****	****	****	****	****	****	****	1174
291	722	пр.Шахтеров-41	41	06232694	2003	11.01 02:18	00007779	7779	****	****	****	****	****	****	****	****	1174
292	603	пр.Шахтеров-48	48	06209311	2001	11.01 01:32	00012887	12887	****	****	****	****	****	****	****	****	1181
293	664	пр.Шахтеров-48а	48а	06239488	2001	11.01 01:31	00015751	15751	****	****	****	****	****	****	****	****	1181
294	665	пр.Шахтеров-46	46	06242990	2001	11.01 01:31	00008793	8793	****	****	****	****	****	****	****	****	1181
295	546	пр.Шахтеров-48а	48а	06221535	2001	11.01 02:11	00009581	9581	****	****	****	****	****	****	****	****	1182
296	669	ул.Институтская-24	24	06239515	2003	11.01 02:07	00013088	13088	****	****	****	****	****	****	****	****	1182
297	662	ул.Институтская-11	11	06242614	2002	11.01 02:15	00007829	7829	****	****	****	****	****	****	****	****	1182
298	572	пр.Шахтеров-40а	40а	06232375	2001	11.01 03:07	00016560	16560	****	****	****	****	****	****	****	****	1183
299	573	пр.Шахтеров-42	42	06232360	2001	11.01 03:02	00007768	7768	****	****	****	****	****	****	****	****	1183
300	574	пр.Шахтеров-40	40	06221509	2001	11.01 03:10	00013431	13431	****	****	****	****	****	****	****	****	1183
301	570	пр.Шахтеров-44а	44а	06232424	2003	11.01 04:06	00016299	16299	****	****	****	****	****	****	****	****	1183
302	571	пр.Шахтеров-44	44	06221558	2002	11.01 03:49	00010478	10478	****	****	****	****	****	****	****	****	1183
303	374	ул.Институтская-18	18	06209377	2001	11.01 02:13	00009191	9191	****	****	****	****	****	****	****	****	1184
304	2	ул.Институтская	16	15623581	2001	11.01 02:05	00005893	5893	****	****	****	****	****	****	****	****	1184
305	3	ул.Институтская	16	15629102	2001	11.01 02:13	00006630	6630	****	****	****	****	****	****	****	****	1184
306	4	ул.Институтская	16	15623942	2001	11.01 02:07	00006343	6343	****	****	****	****	****	****	****	****	1184
307	6	ул.Институтская	16	09341231	2001	11.01 02:16	00004473	4473	****	****	****	****	****	****	****	****	1184
308	5	ул.Институтская	16	15624018	2001	11.01 00:54	00001333	1333	****	****	****	****	****	****	****	****	1184
309	534	пр.Шахтеров-38а	38а	06232362	2001	11.01 04:06	00009185	9185	****	****	****	****	****	****	****	****	1185
310	372	пр.Шахтеров-38	38	06209456	2001	11.01 04:10	00009401	9401	****	****	****	****	****	****	****	****	1185
311	373	пр.Шахтеров-38б	38б	06209378	2001	11.01 04:09	00010854	10854	****	****	****	****	****	****	****	****	1185
312	380	ул.Институтская-12	12	06209205	2002	11.01 04:11	00005647	5647	****	****	****	****	****	****	****	****	1185
313	594	пр.Шахтеров-36	36	06209401	2001	11.01 02:21	00013683	13683	****	****	****	****	****	****	****	****	1186
314	595	пр.Шахтеров-36	36	06209408	2001	11.01 02:18	00006827	6827	****	****	****	****	****	****	****	****	1186
315	592	пр.Шахтеров-36б	36б	06209366	2003	11.01 02:24	00008446	8446	****	****	****	****	****	****	****	****	1186
316	519	пр.Шахтеров-34а	34а	06209155	2003	11.01 02:22	00011557	11557	****	****	****	****	****	****	****	****	1186
317	520	пр.Шахтеров-34	34	06209190	2002	11.01 02:17	00009603	9603	****	****	****	****	****	****	****	****	1186
318	576	пр.Шахтеров-36а	36а	06209369	2002	11.01 02:25	00010535	10535	****	****	****	****	****	****	****	****	1186
319	575	пр.Шахтеров-32а	32а	06209210	2001	****	****	0	****	****	****	****	****	****	****	****	1187
320	591	ул.Терешковой-4	4	06209410	2001	****	****	0	****	****	****	****	****	****	****	****	1187
321	593	ул.Терешковой-2	2	06209418	2001	****	****	0	****	****	****	****	****	****	****	****	1187
322	526	ул.Институтская-6	6	06209406	2003	11.01 02:20	00014091	14091	****	****	****	****	****	****	****	****	1188
323	565	ул.Институтская-4	4	06221467	2003	11.01 02:19	00016058	16058	****	****	****	****	****	****	****	****	1188
324	566	ул.Институтская-2	2	06223261	2003	11.01 02:18	00007456	7456	****	****	****	****	****	****	****	****	1188
325	739	пр.Шахтеров-57	57	06242813	2001	11.01 02:40	00010995	10995	****	****	****	****	****	****	****	****	1191
326	888	пр.Шахтеров-57а	57а	06221464	2001	11.01 02:38	00009308	9308	****	****	****	****	****	****	****	****	1191
327	752	пр.Шахтеров-53	53	06242562	2001	11.01 02:41	00013115	13115	****	****	****	****	****	****	****	****	1191
328	776	пр.Шахтеров-55	55	06242568	2002	11.01 02:44	00003069	3069	****	****	****	****	****	****	****	****	1191
329	772	пр.Шахтеров-51	51	06242581	2003	11.01 02:37	00008376	8376	****	****	****	****	****	****	****	****	1191
330	542	пр.Шахтеров-81а	81а	06209476	2003	11.01 01:40	00006728	6728	****	****	****	****	****	****	****	****	1192
331	541	ул.Ногинская-8	8	06209464	2001	11.01 02:15	00013726	13726	****	****	****	****	****	****	****	****	1192
332	567	ул.Институтская-28	28	06225656	2003	11.01 02:27	00010609	10609	****	****	****	****	****	****	****	****	1193
333	568	ул.Институтская-26	26	06221545	2003	11.01 02:31	00008265	8265	****	****	****	****	****	****	****	****	1193
334	569	ул.Институтская-28	28	06221542	2003	11.01 02:25	00012818	12818	****	****	****	****	****	****	****	****	1193
335	830	Шахтеров 56 Церковь		07971547	2003	11.01 02:22	00011778	11778	****	****	****	****	****	****	****	****	1193
336	56	Карбышева	14	04415967	2001	11.01 02:18	00035136	35136	****	****	****	****	****	****	****	****	12
337	23	Фрунзе	11	03375428	2001	11.01 02:21	00005699	5699	****	****	****	****	****	****	****	****	12
338	87	Карбышева	10	04415935	2001	11.01 02:17	00027582	27582	****	****	****	****	****	****	****	****	12
339	46	Фрунзе	10	04415937	2002	11.01 02:25	00024909	24909	****	****	****	****	****	****	****	****	12
340	11	Карбышева	12	01752361	2002	10.01 21:32	00021572	21572	****	****	****	****	****	****	****	****	12
341	14	Фрунзе	12	3379279	2002	****	****	0	****	****	****	****	****	****	****	****	12
342	34	Фрунзе	9	03372693	2002	11.01 02:33	00006329	6329	****	****	****	****	****	****	****	****	12
343	86	Рябиновая	3	07991178	2001	11.01 02:40	00009560	9560	****	****	****	****	****	****	****	****	120
344	85	Рябиновая	1	07977102	2001	11.01 02:41	00007975	7975	****	****	****	****	****	****	****	****	120
345	83	Рябиновая	2	07976656	2001	11.01 02:36	00009236	9236	****	****	****	****	****	****	****	****	120
346	20	Рябиновая	4	06243350	2001	11.01 02:41	00010857	10857	****	****	****	****	****	****	****	****	120
347	18	Рябиновая	6	06243041	2001	11.01 02:44	00019160	19160	****	****	****	****	****	****	****	****	120
348	4	Рябиновая	7	06244322	2001	11.01 02:35	00023770	23770	****	****	****	****	****	****	****	****	120
349	3	Рябиновая	11	06263456	2001	11.01 02:42	00009149	9149	****	****	****	****	****	****	****	****	120
350	7	Рябиновая	9	06243170	2001	11.01 02:45	00016544	16544	****	****	****	****	****	****	****	****	120
351	9	Рябиновая	13	06243374	2001	11.01 02:34	00013788	13788	****	****	****	****	****	****	****	****	120
352	10	Рябиновая	8	06243021	2001	11.01 02:46	00019152	19152	****	****	****	****	****	****	****	****	120
353	17	Рябиновая	15	06244853	2001	11.01 02:46	00016446	16446	****	****	****	****	****	****	****	****	120
354	2	Рябиновая	10	06243304	2001	11.01 02:42	00019399	19399	****	****	****	****	****	****	****	****	120
355	8	Рябиновая	12	06243166	2001	11.01 02:34	00018137	18137	****	****	****	****	****	****	****	****	120
356	1	Рябиновая	17	06263459	2001	11.01 02:41	00004709	4709	****	****	****	****	****	****	****	****	120
357	51	Черемушки	3	07991187	2001	11.01 02:38	00009488	9488	****	****	****	****	****	****	****	****	120
358	52	Черемушки	2	07990775	2001	11.01 02:36	00020198	20198	****	****	****	****	****	****	****	****	120
359	55	Черемушки	7	07990880	2001	11.01 02:34	00013220	13220	****	****	****	****	****	****	****	****	120
360	56	Черемушки	6	07991199	2001	11.01 02:35	00015486	15486	****	****	****	****	****	****	****	****	120
361	30	Лазурная	5	06263452	2001	11.01 02:47	00013674	13674	****	****	****	****	****	****	****	****	120
362	28	Лазурная	7	06244348	2001	11.01 02:45	00008177	8177	****	****	****	****	****	****	****	****	120
363	58	Черемушки	9	07990879	2001	11.01 02:34	00013680	13680	****	****	****	****	****	****	****	****	120
364	84	Рябиновая	5	07979643	2002	11.01 02:12	00013602	13602	****	****	****	****	****	****	****	****	120
365	57	Черемушки	10	07991212	2002	11.01 02:14	00014380	14380	****	****	****	****	****	****	****	****	120
366	19	Черемушки	8	06243073	2003	11.01 02:22	00012435	12435	****	****	****	****	****	****	****	****	120
367	23	Лазурная	2	06243030	2003	11.01 02:26	00009965	9965	****	****	****	****	****	****	****	****	120
368	27	Лазурная	1	06244809	2003	11.01 02:24	00011421	11421	****	****	****	****	****	****	****	****	120
369	53	Черемушки	4	07990863	2003	11.01 02:20	00010981	10981	****	****	****	****	****	****	****	****	120
370	54	Черемушки	5	07990758	2003	11.01 02:17	00005021	5021	****	****	****	****	****	****	****	****	120
371	59	Черемушки	11	07991226	2003	11.01 02:19	00012573	12573	****	****	****	****	****	****	****	****	120
372	60	Черемушки	12	07990887	2003	11.01 02:21	00013932	13932	****	****	****	****	****	****	****	****	120
373	61	Лазурная	8	09268320	2003	11.01 02:19	00026642	26642	****	****	****	****	****	****	****	****	120
374	62	Лазурная	11	09268252	2003	11.01 02:24	00011072	11072	****	****	****	****	****	****	****	****	120
375	64	Лазурная	10	09268271	2003	11.01 02:13	00016701	16701	****	****	****	****	****	****	****	****	120
376	71	Лазурная	3	09274701	2003	11.01 02:20	00012122	12122	****	****	****	****	****	****	****	****	120
377	72	Лазурная	4	09268278	2003	11.01 02:21	00012549	12549	****	****	****	****	****	****	****	****	120
